N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        2200       2097       0        0         0         0.000533
2        0        2200       2097       0        0         0         0.000569
3        0        2200       2097       0        0         0         0.000631
4        0        2200       2097       0        0         0         0.000616
5        0        2200       2097       0        0         0         0.000608
6        0        2200       2092       0        0         0         0.000600
7        0        2200       2092       0        0         0         0.000578
8        0        2200       2097       0        0         0         0.000593
9        0        2200       2092       0        0         0         0.000608
10       0        2200       2097       0        0         0         0.000616
11       0        2200       2092       0        0         0         0.000623
12       0        2200       2092       0        0         0         0.000631
13       0        2200       2092       0        0         0         0.000637
14       0        2200       2089       0        0         0         0.002424
15       0        2200       2097       0        0         0         0.000652
16       0        2200       2097       0        0         0         0.000676
17       0        2200       2097       0        0         0         0.000652
18       0        2200       2097       0        0         0         0.000637
19       0        2200       2092       0        0         0         0.000631
20       0        2200       2097       0        0         0         0.000623
21       0        2200       2092       0        0         0         0.000631
22       0        2200       2097       0        0         0         0.000623
23       0        2200       2092       0        0         0         0.000637
24       0        2200       2092       0        0         0         0.000623
25       0        2200       2097       0        0         0         0.000631
26       0        2200       2097       0        0         0         0.000608
27       0        2200       2097       0        0         0         0.000623
28       0        2200       2097       0        0         0         0.000631
29       0        2200       2097       0        0         0         0.000644
30       0        2200       2097       0        0         0         0.000644
31       0        2200       2092       0        0         0         0.000631
32       0        2200       2092       0        0         0         0.000644
33       0        2200       2092       0        0         0         0.000652
34       0        2200       2092       0        0         0         0.000661
35       0        2200       2092       0        0         0         0.000676
36       0        2200       2092       0        0         0         0.000661
37       0        2200       2092       0        0         0         0.000661
38       0        2200       2092       0        0         0         0.000644
39       0        2200       2092       0        0         0         0.000644
40       0        2200       2092       0        0         0         0.000661
41       0        2200       2092       0        0         0         0.000661
42       0        2200       2097       0        0         0         0.000676
43       0        2200       2097       0        0         0         0.000652
44       0        2200       2097       0        0         0         0.000668
45       0        2200       2097       0        0         0         0.000668
46       0        2200       2092       0        0         0         0.000652
47       0        2200       2092       0        0         0         0.000652
48       0        2200       2097       0        0         0         0.000652
49       0        2200       2092       0        0         0         0.000631
50       0        2200       2097       0        0         0         0.000623
51       0        2200       2097       0        0         0         0.000631
52       0        2200       2097       0        0         0         0.000637
53       0        2200       2092       0        0         0         0.000637
54       0        2200       2097       0        0         0         0.000623
55       0        2200       2097       0        0         0         0.000644
56       0        2200       2092       0        0         0         0.000623
57       0        2200       2097       0        0         0         0.000631
58       0        2200       2092       0        0         0         0.000652
59       0        2200       2092       0        0         0         0.000691
60       0        2200       2092       0        0         0         0.000661
61       0        2200       2092       0        0         0         0.000644
62       0        2200       2092       0        0         0         0.000637
63       0        2200       2097       0        0         0         0.000631
64       0        2200       2097       0        0         0         0.000644
65       0        2200       2092       0        0         0         0.000644
66       0        2200       2092       0        0         0         0.000637
67       0        2200       2092       0        0         0         0.000637
68       0        2200       2097       0        0         0         0.000644
69       0        2200       2097       0        0         0         0.000637
70       0        2200       2092       0        0         0         0.000644
71       0        2200       2092       0        0         0         0.000652
72       0        2200       2092       0        0         0         0.000644
