N имп.   Опозд.   Uзад [В]   Uимп [В]   Диап.I   Превыш.   Перегр.   Iимп [А]
1        0        1300       1217       1        0         0         0.015680
2        0        1310       1244       0        0         0         0.000000
3        0        1320       1254       0        0         0         0.000000
4        0        1330       1264       0        0         0         0.000000
5        0        1340       1274       0        0         0         0.000000
6        0        1350       1279       0        0         0         0.000000
7        0        1360       1294       0        0         0         0.000000
8        0        1370       1299       0        0         0         0.000000
9        0        1380       1314       0        0         0         0.000000
10       0        1390       1319       0        0         0         0.000000
11       0        1400       1334       0        0         0         0.000000
12       0        1410       1339       0        0         0         0.000000
13       0        1420       1349       0        0         0         0.000000
14       0        1430       1359       0        0         0         0.000000
15       0        1440       1369       0        0         0         0.000000
16       0        1450       1374       0        0         0         0.000000
17       0        1460       1389       0        0         0         0.000000
18       0        1470       1399       0        0         0         0.000000
19       0        1480       1404       0        0         0         0.000000
20       0        1490       1419       0        0         0         0.000000
21       0        1500       1429       0        0         0         0.000000
22       0        1510       1434       0        0         0         0.000000
23       0        1520       1444       0        0         0         0.000000
24       0        1530       1454       0        0         0         0.000000
25       0        1540       1464       0        0         0         0.000000
26       0        1550       1474       0        0         0         0.000000
27       0        1560       1484       0        0         0         0.000000
28       0        1570       1494       0        0         0         0.000000
29       0        1580       1504       0        0         0         0.000000
30       0        1590       1514       0        0         0         0.000000
31       0        1600       1519       0        0         0         0.000000
32       0        1610       1529       0        0         0         0.000000
33       0        1620       1538       0        0         0         0.000000
34       0        1630       1548       0        0         0         0.000000
35       0        1640       1558       0        0         0         0.000000
36       0        1650       1568       0        0         0         0.000000
37       0        1660       1578       0        0         0         0.000008
38       0        1670       1588       0        0         0         0.000008
39       0        1680       1593       0        0         0         0.000015
40       0        1690       1608       0        0         0         0.000015
41       0        1700       1618       0        0         0         0.000023
42       0        1710       1628       0        0         0         0.000023
43       0        1720       1633       0        0         0         0.000030
44       0        1730       1643       0        0         0         0.000030
45       0        1740       1653       0        0         0         0.000045
46       0        1750       1663       0        0         0         0.000053
47       0        1760       1673       0        0         0         0.000053
48       0        1770       1683       0        0         0         0.000068
49       0        1780       1693       0        0         0         0.000068
50       0        1790       1698       0        0         0         0.000068
51       0        1800       1713       0        0         0         0.000075
52       0        1810       1723       0        0         0         0.000090
53       0        1820       1733       0        0         0         0.000098
54       0        1830       1738       0        0         0         0.000098
55       0        1840       1753       0        0         0         0.000104
56       0        1850       1758       0        0         0         0.000120
57       0        1860       1768       0        0         0         0.000120
58       0        1870       1778       0        0         0         0.000143
59       0        1880       1788       0        0         0         0.000158
60       0        1890       1793       0        0         0         0.000166
61       0        1900       1808       0        0         0         0.000172
62       0        1910       1818       0        0         0         0.000187
63       0        1920       1828       0        0         0         0.000195
64       0        1930       1838       0        0         0         0.000211
65       0        1940       1843       0        0         0         0.000233
66       0        1950       1858       0        0         0         0.000239
67       0        1960       1863       0        0         0         0.000255
68       0        1970       1878       0        0         0         0.000271
69       0        1980       1883       0        0         0         0.000293
70       0        1990       1893       0        0         0         0.000315
71       0        2000       1908       0        0         0         0.000345
72       0        2010       1913       0        0         0         0.000382
73       0        2020       1923       0        0         0         0.000397
74       0        2030       1933       0        0         0         0.000420
75       0        2040       1938       0        0         0         0.000435
76       0        2050       1953       0        0         0         0.000442
77       0        2060       1958       0        0         0         0.000473
78       0        2070       1968       0        0         0         0.000495
79       0        2080       1977       0        0         0         0.000540
80       0        2090       1992       0        0         0         0.000555
81       0        2100       1997       0        0         0         0.000608
82       0        2110       2007       0        0         0         0.000631
83       0        2120       2017       0        0         0         0.000691
84       0        2130       2027       0        0         0         0.000712
85       0        2140       2037       0        0         0         0.000743
86       0        2150       2046       0        0         0         0.000795
87       0        2160       2056       0        0         0         0.000840
88       0        2170       2066       0        0         0         0.000894
89       0        2180       2071       0        0         0         0.000938
90       0        2190       2081       0        0         0         0.000998
91       0        2200       2091       0        0         0         0.001058
92       0        2210       2075       1        0         0         0.029740
93       0        2220       2079       1        0         0         0.038360
